date_begin,date_end,Name,Constituency,Local Party,Group,Parliament
7/20/04,6/7/09,Kader Arif,Sud-Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Marie-Hélène Aubert,Ouest,Les Verts,The Greens–European Free Alliance,6
7/20/04,6/11/05,Brice Hortefeux,Massif central – Centre,UMP,European People's Party,6
6/11/05,6/7/09,Jean-Pierre Audy,Massif central – Centre,UMP,European People's Party,6
7/20/04,6/7/09,Jean-Marie Beaupuy,Est,UDF,Alliance of Liberals and Democrats for Europe,6
7/20/04,6/7/09,Jean-Luc Bennahmias,Sud-Est,Les Verts,The Greens–European Free Alliance,6
7/20/04,6/7/09,Pervenche Berès,Ile-de-France,PS,Party of European Socialists ,6
7/20/04,6/7/09,Guy Bono,Sud-Est,PS,Party of European Socialists ,6
7/20/04,6/7/09,Marie-Arlette Carlotti,Sud-Est,PS,Party of European Socialists ,6
7/20/04,6/7/09,Françoise Castex,Sud-Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Jean-Marie Cavada,Sud-Ouest,UDF,Alliance of Liberals and Democrats for Europe,6
7/20/04,6/7/09,Thierry Cornillet,Sud-Est,UDF,Alliance of Liberals and Democrats for Europe,6
7/20/04,6/7/09,Jean-Louis Cottigny,Nord-Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Paul-Marie Coûteaux,Ile-de-France,MPF,Independence/Democracy,6
7/20/04,6/7/09,Joseph Daul,Est,UMP,European People's Party,6
7/20/04,6/7/09,Marielle de Sarnez,Ile-de-France,UDF,Alliance of Liberals and Democrats for Europe,6
7/20/04,6/7/09,Christine de Veyrac,Sud-Ouest,UMP,European People's Party,6
7/20/04,6/7/09,Philippe de Villiers,Ouest,MPF,Independence/Democracy,6
7/20/04,10/6/08,Bernadette Bourzai,Massif central – Centre,PS,Party of European Socialists ,6
10/6/08,6/7/09,Jean-Paul Denanot,Massif central – Centre,PS,Party of European Socialists ,6
7/20/04,6/7/09,Marie-Hélène Descamps,Massif central – Centre,UMP,European People's Party,6
7/20/04,6/7/09,Harlem Désir,Ile-de-France,PS,Party of European Socialists ,6
7/20/04,6/7/09,Brigitte Douay,Nord-Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Anne Ferreira,Ile-de-France,PS,Party of European Socialists ,6
7/20/04,6/7/09,Hélène Flautre,Nord-Ouest,Les Verts,The Greens–European Free Alliance,6
7/20/04,6/7/09,Nicole Fontaine,Ile-de-France,UMP,European People's Party,6
7/20/04,10/1/08,Jean-Louis Bourlanges,Nord-Ouest,NC,European People's Party,6
10/1/08,6/7/09,Brigitte Fouré,Nord-Ouest,NC,European People's Party,6
7/20/04,6/7/09,Janelly Fourtou,Massif central – Centre,UDF,Alliance of Liberals and Democrats for Europe,6
7/20/04,6/7/09,Patrick Gaubert,Ile-de-France,UMP,European People's Party,6
7/20/04,6/7/09,Jean-Paul Gauzes,Nord-Ouest,UMP,European People's Party,6
7/20/04,6/7/09,Claire Gibault,Sud-Est,UDF,Alliance of Liberals and Democrats for Europe,6
7/20/04,6/7/09,Bruno Gollnisch,Est,FN,Non-Inscrits,6
7/20/04,6/7/09,Natalie Griesbeck,Est,UDF,Alliance of Liberals and Democrats for Europe,6
7/20/04,6/7/09,Françoise Grossetête,Sud-Est,UMP,European People's Party,6
7/20/04,6/7/09,Ambroise Guellec,Ouest,UMP,European People's Party,6
7/20/04,6/7/09,Catherine Guy-Quint,Massif central – Centre,PS,Party of European Socialists ,6
7/20/04,6/7/09,Benoît Hamon,Est,PS,Party of European Socialists ,6
7/20/04,5/17/08,Adeline Hazan,Est,PS,Party of European Socialists ,6
5/17/08,6/7/09,Catherine Boursier,Est,PS,Party of European Socialists ,6
7/20/04,6/7/09,Jacky Henin,Nord-Ouest,PCF,European United Left–Nordic Green Left,6
7/20/04,6/7/09,Marie-Anne Isler-Béguin,Est,Les Verts,The Greens–European Free Alliance,6
7/20/04,6/7/09,André Laignel,Massif central – Centre,PS,Party of European Socialists ,6
