GEO,SEX,AGE,CAS,SIE,EDU,LOC,TIME,VALUE,FLAGS,FOOTNOTES
FR1,F,Y18,POP,EMP,ED1,TOTAL,2011,1153,u,
FR1,F,Y18,POP,EMP,ED2,TOTAL,2011,25756,u,
FR1,F,Y18,POP,EMP,ED3,TOTAL,2011,47055,,
FR1,F,Y18,POP,EMP,ED4,TOTAL,2011,0,,
FR1,F,Y18,POP,EMP,ED5,TOTAL,2011,1396,,
FR1,F,Y18,POP,EMP,ED6,TOTAL,2011,0,,
FR1,F,Y18,POP,EMP,NAP,TOTAL,2011,0,,
FR1,F,Y18,POP,EMP,NONE,TOTAL,2011,319,,
FR1,F,Y18,POP,EMP,UNK,TOTAL,2011,1,u,
FR1,F,Y19,POP,EMP,ED1,TOTAL,2011,1027,u,
FR1,F,Y19,POP,EMP,ED2,TOTAL,2011,13488,u,
FR1,F,Y19,POP,EMP,ED3,TOTAL,2011,58625,,
FR1,F,Y19,POP,EMP,ED4,TOTAL,2011,0,,
FR1,F,Y19,POP,EMP,ED5,TOTAL,2011,4108,,
FR1,F,Y19,POP,EMP,ED6,TOTAL,2011,0,,
FR1,F,Y19,POP,EMP,NAP,TOTAL,2011,0,,
FR1,F,Y19,POP,EMP,NONE,TOTAL,2011,369,,
FR1,F,Y19,POP,EMP,UNK,TOTAL,2011,1,u,
FR1,F,Y20-24,POP,EMP,ED1,TOTAL,2011,5857,u,
FR1,F,Y20-24,POP,EMP,ED2,TOTAL,2011,40079,u,
FR1,F,Y20-24,POP,EMP,ED3,TOTAL,2011,196163,,
FR1,F,Y20-24,POP,EMP,ED4,TOTAL,2011,0,,
FR1,F,Y20-24,POP,EMP,ED5,TOTAL,2011,179136,,
FR1,F,Y20-24,POP,EMP,ED6,TOTAL,2011,0,,
FR1,F,Y20-24,POP,EMP,NAP,TOTAL,2011,0,,
FR1,F,Y20-24,POP,EMP,NONE,TOTAL,2011,3100,,
FR1,F,Y20-24,POP,EMP,UNK,TOTAL,2011,7,u,
FR1,F,Y25-29,POP,EMP,ED1,TOTAL,2011,8241,u,
FR1,F,Y25-29,POP,EMP,ED2,TOTAL,2011,42476,u,
FR1,F,Y25-29,POP,EMP,ED3,TOTAL,2011,132331,,
FR1,F,Y25-29,POP,EMP,ED4,TOTAL,2011,0,,
FR1,F,Y25-29,POP,EMP,ED5,TOTAL,2011,276167,,
FR1,F,Y25-29,POP,EMP,ED6,TOTAL,2011,5009,u,
FR1,F,Y25-29,POP,EMP,NAP,TOTAL,2011,0,,
FR1,F,Y25-29,POP,EMP,NONE,TOTAL,2011,5611,,
FR1,F,Y25-29,POP,EMP,UNK,TOTAL,2011,1,u,
FR1,F,Y30-49,POP,EMP,ED1,TOTAL,2011,74432,u,
FR1,F,Y30-49,POP,EMP,ED2,TOTAL,2011,239683,u,
FR1,F,Y30-49,POP,EMP,ED3,TOTAL,2011,578691,,
FR1,F,Y30-49,POP,EMP,ED4,TOTAL,2011,0,,
FR1,F,Y30-49,POP,EMP,ED5,TOTAL,2011,811761,,
FR1,F,Y30-49,POP,EMP,ED6,TOTAL,2011,15114,u,
FR1,F,Y30-49,POP,EMP,NAP,TOTAL,2011,0,,
FR1,F,Y30-49,POP,EMP,NONE,TOTAL,2011,42811,,
FR1,F,Y30-49,POP,EMP,UNK,TOTAL,2011,23,u,
FR1,F,Y50-64,POP,EMP,ED1,TOTAL,2011,153145,u,
FR1,F,Y50-64,POP,EMP,ED2,TOTAL,2011,192580,u,
FR1,F,Y50-64,POP,EMP,ED3,TOTAL,2011,359175,,
FR1,F,Y50-64,POP,EMP,ED4,TOTAL,2011,0,,
FR1,F,Y50-64,POP,EMP,ED5,TOTAL,2011,320790,,
FR1,F,Y50-64,POP,EMP,ED6,TOTAL,2011,7097,u,
FR1,F,Y50-64,POP,EMP,NAP,TOTAL,2011,0,,
FR1,F,Y50-64,POP,EMP,NONE,TOTAL,2011,47844,,
FR1,F,Y50-64,POP,EMP,UNK,TOTAL,2011,25,u,
FR1,F,Y65-84,POP,EMP,ED1,TOTAL,2011,252032,u,
FR1,F,Y65-84,POP,EMP,ED2,TOTAL,2011,126762,u,
FR1,F,Y65-84,POP,EMP,ED3,TOTAL,2011,196195,,
FR1,F,Y65-84,POP,EMP,ED4,TOTAL,2011,0,,
FR1,F,Y65-84,POP,EMP,ED5,TOTAL,2011,119085,,
FR1,F,Y65-84,POP,EMP,ED6,TOTAL,2011,3074,u,
FR1,F,Y65-84,POP,EMP,NAP,TOTAL,2011,0,,
FR1,F,Y65-84,POP,EMP,NONE,TOTAL,2011,37478,,
FR1,F,Y65-84,POP,EMP,UNK,TOTAL,2011,2,u,
FR1,F,Y_GE85,POP,EMP,ED1,TOTAL,2011,66084,u,
FR1,F,Y_GE85,POP,EMP,ED2,TOTAL,2011,30350,u,
FR1,F,Y_GE85,POP,EMP,ED3,TOTAL,2011,32813,,
FR1,F,Y_GE85,POP,EMP,ED4,TOTAL,2011,0,,
FR1,F,Y_GE85,POP,EMP,ED5,TOTAL,2011,22215,,
FR1,F,Y_GE85,POP,EMP,ED6,TOTAL,2011,231,u,
FR1,F,Y_GE85,POP,EMP,NAP,TOTAL,2011,0,,
FR1,F,Y_GE85,POP,EMP,NONE,TOTAL,2011,6774,,
FR1,F,Y_GE85,POP,EMP,UNK,TOTAL,2011,0,,
FR1,M,Y18,POP,EMP,ED1,TOTAL,2011,1438,u,
FR1,M,Y18,POP,EMP,ED2,TOTAL,2011,32097,u,
FR1,M,Y18,POP,EMP,ED3,TOTAL,2011,40851,,
FR1,M,Y18,POP,EMP,ED4,TOTAL,2011,0,,
FR1,M,Y18,POP,EMP,ED5,TOTAL,2011,1352,,
FR1,M,Y18,POP,EMP,ED6,TOTAL,2011,0,,
FR1,M,Y18,POP,EMP,NAP,TOTAL,2011,0,,
FR1,M,Y18,POP,EMP,NONE,TOTAL,2011,527,,
FR1,M,Y18,POP,EMP,UNK,TOTAL,2011,1,u,
FR1,M,Y19,POP,EMP,ED1,TOTAL,2011,1359,u,
FR1,M,Y19,POP,EMP,ED2,TOTAL,2011,18618,u,
FR1,M,Y19,POP,EMP,ED3,TOTAL,2011,53386,,
FR1,M,Y19,POP,EMP,ED4,TOTAL,2011,0,,
FR1,M,Y19,POP,EMP,ED5,TOTAL,2011,2648,,
FR1,M,Y19,POP,EMP,ED6,TOTAL,2011,0,,
FR1,M,Y19,POP,EMP,NAP,TOTAL,2011,0,,
FR1,M,Y19,POP,EMP,NONE,TOTAL,2011,537,,
FR1,M,Y19,POP,EMP,UNK,TOTAL,2011,2,u,
FR1,M,Y20-24,POP,EMP,ED1,TOTAL,2011,7591,u,
FR1,M,Y20-24,POP,EMP,ED2,TOTAL,2011,56044,u,
FR1,M,Y20-24,POP,EMP,ED3,TOTAL,2011,201365,,
FR1,M,Y20-24,POP,EMP,ED4,TOTAL,2011,0,,
FR1,M,Y20-24,POP,EMP,ED5,TOTAL,2011,129724,,
FR1,M,Y20-24,POP,EMP,ED6,TOTAL,2011,0,,
FR1,M,Y20-24,POP,EMP,NAP,TOTAL,2011,0,,
FR1,M,Y20-24,POP,EMP,NONE,TOTAL,2011,3209,,
FR1,M,Y20-24,POP,EMP,UNK,TOTAL,2011,7,u,
FR1,M,Y25-29,POP,EMP,ED1,TOTAL,2011,9577,u,
FR1,M,Y25-29,POP,EMP,ED2,TOTAL,2011,52390,u,
FR1,M,Y25-29,POP,EMP,ED3,TOTAL,2011,143863,,
FR1,M,Y25-29,POP,EMP,ED4,TOTAL,2011,0,,
FR1,M,Y25-29,POP,EMP,ED5,TOTAL,2011,219316,,
FR1,M,Y25-29,POP,EMP,ED6,TOTAL,2011,4727,u,
FR1,M,Y25-29,POP,EMP,NAP,TOTAL,2011,0,,
FR1,M,Y25-29,POP,EMP,NONE,TOTAL,2011,5486,,
FR1,M,Y25-29,POP,EMP,UNK,TOTAL,2011,3,u,
FR1,M,Y30-49,POP,EMP,ED1,TOTAL,2011,72993,u,
FR1,M,Y30-49,POP,EMP,ED2,TOTAL,2011,246200,u,
FR1,M,Y30-49,POP,EMP,ED3,TOTAL,2011,601483,,
FR1,M,Y30-49,POP,EMP,ED4,TOTAL,2011,0,,
FR1,M,Y30-49,POP,EMP,ED5,TOTAL,2011,733103,,
FR1,M,Y30-49,POP,EMP,ED6,TOTAL,2011,16421,u,
FR1,M,Y30-49,POP,EMP,NAP,TOTAL,2011,0,,
FR1,M,Y30-49,POP,EMP,NONE,TOTAL,2011,35924,,
FR1,M,Y30-49,POP,EMP,UNK,TOTAL,2011,22,u,
FR1,M,Y50-64,POP,EMP,ED1,TOTAL,2011,124034,u,
FR1,M,Y50-64,POP,EMP,ED2,TOTAL,2011,160824,u,
FR1,M,Y50-64,POP,EMP,ED3,TOTAL,2011,350751,,
FR1,M,Y50-64,POP,EMP,ED4,TOTAL,2011,0,,
FR1,M,Y50-64,POP,EMP,ED5,TOTAL,2011,316674,,
FR1,M,Y50-64,POP,EMP,ED6,TOTAL,2011,10663,u,
FR1,M,Y50-64,POP,EMP,NAP,TOTAL,2011,0,,
FR1,M,Y50-64,POP,EMP,NONE,TOTAL,2011,41157,,
FR1,M,Y50-64,POP,EMP,UNK,TOTAL,2011,37,u,
