GEO,SEX,CAS,LMS,COC,AGE,TIME,VALUE,FLAGS,FOOTNOTES
FR1,F,POP,DISREP,TOTAL,Y15-29,2011,0,,
FR1,F,POP,DISREP,TOTAL,Y30-49,2011,0,,
FR1,F,POP,DISREP,TOTAL,Y50-64,2011,0,,
FR1,F,POP,DISREP,TOTAL,Y65-84,2011,0,,
FR1,F,POP,DISREP,TOTAL,Y_GE85,2011,0,,
FR1,F,POP,DIV,TOTAL,Y15-29,2011,8494,,
FR1,F,POP,DIV,TOTAL,Y30-49,2011,157376,,
FR1,F,POP,DIV,TOTAL,Y50-64,2011,187040,,
FR1,F,POP,DIV,TOTAL,Y65-84,2011,81654,,
FR1,F,POP,DIV,TOTAL,Y_GE85,2011,8724,,
FR1,F,POP,DTHREP,TOTAL,Y15-29,2011,0,,
FR1,F,POP,DTHREP,TOTAL,Y30-49,2011,0,,
FR1,F,POP,DTHREP,TOTAL,Y50-64,2011,0,,
FR1,F,POP,DTHREP,TOTAL,Y65-84,2011,0,,
FR1,F,POP,DTHREP,TOTAL,Y_GE85,2011,0,,
FR1,F,POP,MAR,TOTAL,Y15-29,2011,162672,,
FR1,F,POP,MAR,TOTAL,Y30-49,2011,928575,,
FR1,F,POP,MAR,TOTAL,Y50-64,2011,641316,,
FR1,F,POP,MAR,TOTAL,Y65-84,2011,331071,,
FR1,F,POP,MAR,TOTAL,Y_GE85,2011,21839,,
FR1,F,POP,REP,TOTAL,Y15-29,2011,0,,
FR1,F,POP,REP,TOTAL,Y30-49,2011,0,,
FR1,F,POP,REP,TOTAL,Y50-64,2011,0,,
FR1,F,POP,REP,TOTAL,Y65-84,2011,0,,
FR1,F,POP,REP,TOTAL,Y_GE85,2011,0,,
FR1,F,POP,SIN,TOTAL,Y15-29,2011,1086707,,
FR1,F,POP,SIN,TOTAL,Y30-49,2011,659356,,
FR1,F,POP,SIN,TOTAL,Y50-64,2011,176756,,
FR1,F,POP,SIN,TOTAL,Y65-84,2011,74412,,
FR1,F,POP,SIN,TOTAL,Y_GE85,2011,17468,,
FR1,F,POP,UNK,TOTAL,Y15-29,2011,12,u,
