TIME,TIME,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
GEO (Codes),GEO (Labels),,,,,,,,,,
DE1,Baden-Württemberg,"259,249.64","267,021.17","280,774.38","291,174.84","297,064.34","305,304.53","316,608.7","328,803.72","340,907.5",:
DE2,Bayern,"312,736.26","320,736.28","337,359.54","350,273.62","358,776.45","371,739.88","382,861.1","397,509.22","413,501.36",:
DE3,Berlin,"62,011.89","63,817.1","67,119.85","69,427.93","71,740.94","74,125.55","78,192.28","81,229.8","85,768.96",:
DE4,Brandenburg,"44,059.51","44,357.5","46,572.85","46,976.16","48,077.34","49,322.72","50,805.65","52,494.77","54,642.07",:
DE5,Bremen,"13,639.12","13,527.87","13,952.59","14,524.15","14,707.39","15,037.93","15,509.32","15,989.75","16,744.08",:
DE6,Hamburg,"45,280.94","45,071.8","47,369.89","49,153.48","50,900.81","51,258.75","52,926.67","55,042.5","57,466.33",:
DE7,Hessen,"142,219.52","145,389.31","151,170.94","156,083.64","158,713.24","164,395.22","169,992.24","175,547.78","181,834.27",:
DE8,Mecklenburg-Vorpommern,"25,922.7","26,064","27,074.79","27,735.56","28,232.65","28,843.83","29,498.11","30,313.28","31,479.63",:
DE9,Niedersachsen,"160,996.45","163,384.92","171,210.19","177,499.87","181,384.41","186,938.26","192,162.82","198,038.16","206,040.32",:
DEA,Nordrhein-Westfalen,"386,119.85","394,220.03","412,816.92","423,171.39","428,540.35","440,295.72","449,048.82","463,550.11","480,872.52",:
DEB,Rheinland-Pfalz,"92,936.13","92,884.46","96,897.67","98,979.42","100,546.13","102,642.08","106,162.7","108,580.91","111,829.66",:
DEC,Saarland,"19,941.31","20,458.42","21,360.56","21,712.5","21,909.59","21,806.38","22,208.22","22,670.6","23,238.66",:
DED,Sachsen,"65,478.96","66,814.64","69,612.26","71,605.99","72,909.47","74,629.99","76,735.41","79,721.27","82,467.07",:
DEE,Sachsen-Anhalt,"35,721.5","36,248.6","37,605.92","38,556.57","38,918.28","39,909.55","40,927.41","42,177.83","43,608.63",:
DEF,Schleswig-Holstein,"61,156.11","61,885.31","65,069.38","66,858.48","68,287.04","69,692.54","71,508","73,940.41","76,945.34",:
DEG,Thüringen,"35,940.12","36,353.59","38,002.26","38,812.39","39,474.58","40,356.09","41,335.54","42,750.86","44,092.62",:
FR1,Île de France,"331,584","340,953.5","349,214","358,209.8","357,304.1","363,012.4","369,030.5","374,659.1","383,636.9",:
