NUTS,NUTS2_old,NUTS_eb,Region Name,Year,pop,gdp,gdp_cap,density,area,higher_ed,hhd_income,unemp_pct
FR10,FR1,FR1,Île de France,2015,12082144.00,671048.25,55540.49,1007.30,12012.30,1.40,369030.50,9.60
FRB0,FR24,FR5,Centre - Val de Loire,2015,2578592.00,70229.86,27235.74,65.70,25605.80,0.60,53056.10,10.70
FRC1,FR26,FR7,Bourgogne,2015,1641205.00,44669.61,27217.57,51.90,19399.50,0.70,32422.60,8.80
FRC2,FR43,FR11,Franche-Comté,2015,1179735.00,29404.70,24924.83,72.80,12317.40,0.80,23762.20,9.30
FRD1,FR25,FR6,Basse-Normandie,2015,1479484.00,38680.85,26144.82,83.30,39150.90,0.70,28166.30,8.20
FRD2,FR23,FR4,Haute-Normandie,2015,1859647.00,53128.69,28569.23,151.80,17589.30,0.90,37923.80,10.60
FRE1,FR30,FR8,Nord-Pas-de-Calais,2015,4077886.00,108934.72,26713.53,328.40,31582.00,1.10,75044.80,13.80
FRE2,FR22,FR3,Picardie,2015,1932090.00,48381.65,25041.10,99.70,12414.10,0.70,38401.90,10.80
FRF1,FR42,FR10,Alsace,2015,1879265.00,56713.17,30178.38,227.70,23547.40,1.10,42461.80,9.10
FRF2,FR21,FR2,Champagne-Ardenne,2015,1338255.00,37347.90,27907.91,52.30,8280.20,0.90,25763.90,13.00
FRF3,FR41,FR9,Lorraine,2015,2341531.00,57818.66,24692.67,99.50,16202.30,0.90,46883.40,12.20
FRG0,FR51,FR12,Pays-de-la-Loire,2015,3718512.00,109964.73,29572.24,115.80,32081.80,0.90,75131.00,9.10
FRH0,FR52,FR13,Bretagne,2015,3293850.00,91405.56,27750.37,120.50,27207.90,1.00,64996.50,7.80
FRI1,FR61,FR15,Aquitaine,2015,3370578.00,96758.29,28706.74,81.80,25809.50,0.90,68940.70,9.70
FRI2,FR63,FR17,Limousin,2015,738031.00,18189.74,24646.31,43.40,41308.40,0.80,13661.90,8.90
FRI3,FR53,FR14,Poitou-Charentes,2015,1802873.00,48192.46,26730.92,69.70,45347.90,0.80,34308.90,9.80
FRJ1,FR81,FR20,Languedoc-Roussillon,2015,2772683.00,68279.68,24625.85,101.70,16942.30,1.00,49879.80,13.00
FRJ2,FR62,FR16,Midi-Pyrénées,2015,3001502.00,91046.31,30333.58,66.30,43698.20,1.10,62486.00,8.60
FRK1,FR72,FR19,Auvergne,2015,1362367.00,36555.35,26832.23,52.30,26012.90,0.90,26839.00,8.60
FRK2,FR71,FR18,Rhône-Alpes,2015,6515331.00,213642.10,32790.67,147.70,27375.80,1.10,148849.10,9.10
FRL0,FR82,FR21,Provence-Alpes-Côte d'Azur,2015,5007977.00,154081.04,30767.12,160.60,31399.60,0.90,106634.50,11.00
FRM0,FR83 ,FR22,Corse,2015,327283.00,8761.71,26771.05,37.90,8679.80,0.50,6365.50,11.90
ITC,ITC,IT1,Nord-Ovest,2015,16138643.00,541030.85,33523.94,286.80,57928.00,0.90,374879.80,8.70
ITH,ITH,IT2,Nord-Est,2015,11661160.00,377646.57,32384.99,187.00,62327.00,0.90,255402.80,7.30
ITI,ITI,IT3,Centro (IT),2015,12090637.00,356930.84,29521.26,208.00,58085.00,1.30,236490.20,10.70
ITF,ITF,IT4,Sud,2015,14149806.00,258576.85,18274.23,196.10,73800.00,1.00,180284.30,19.00
ITG,ITG,IT5,Isole,2015,6755366.00,119889.59,17747.31,136.80,49933.00,0.80,83541.60,20.30
UKC,UKC,UK1,North East (UK),2015,2621766.00,78581.06,29972.57,306.30,8676.00,1.10,57775.59,8.10
UKD,UKD,UK2,North West (UK),2015,7153981.00,252641.03,35314.75,508.80,14919.00,0.90,171988.15,5.40
UKE,UKE,UK3,Yorkshire and The Humber,2015,5375167.00,173120.60,32207.48,349.90,15562.00,1.00,125509.23,6.20
UKF,UKF,UK4,East Midlands (UK),2015,4657381.00,152837.63,32816.22,299.80,15811.00,1.00,116890.52,4.60
UKG,UKG,UK5,West Midlands (UK),2015,5734320.00,191688.60,33428.31,443.00,13004.00,0.90,138269.11,5.80
UKH,UKH,UK6,East of England,2015,6046485.00,220986.74,36547.97,317.90,19586.00,0.60,185363.40,4.20
UKI,UKI,UK7,London,2015,8603110.00,613246.24,71281.92,5508.80,1595.00,1.20,382611.78,6.30
UKJ,UKJ,UK8,South East (UK),2015,8911571.00,396602.54,44504.22,469.40,19405.00,1.20,303959.58,4.10
UKK,UKK,UK9,South West (UK),2015,5447407.00,193890.25,35593.13,229.50,24389.00,0.80,147104.88,3.90
UKL,UKL,UK10,Wales,2015,3095703.00,90661.54,29286.25,149.60,21224.00,1.10,66589.12,5.90
UKM,UKM,UK11,Scotland,2015,5360273.00,202105.10,37704.25,69.00,80234.00,1.30,144040.38,5.80
UKN,UKN,UK12,Northern Ireland (UK),2015,1846229.00,57740.34,31274.74,136.50,14130.00,0.90,40657.10,6.10
