GESIS ID,EB NUM,DATE,URL,PARLIAMENT
ZA4230 ,Eurobarometer 62.1,Oct-Dec 2004,https://www.gesis.org/en/eurobarometer-data-service/survey-series/standard-special-eb/study-overview/eurobarometer-621-za-4230-oct-dec-2004,6
ZA4742 ,Eurobarometer 68.2 ,November-December 2007,https://www.gesis.org/en/eurobarometer-data-service/survey-series/standard-special-eb/study-overview/eurobarometer-682-za-4742-nov-dec-2007,6
ZA4744 ,Eurobarometer 69.2 ,Mar-May 2008,https://www.gesis.org/en/eurobarometer-data-service/survey-series/standard-special-eb/study-overview/eurobarometer-692-za-4744-mar-may-2008,6
ZA4971,Eurobarometer 71.1 ,Jan-Feb 2009,https://www.gesis.org/en/eurobarometer-data-service/survey-series/standard-special-eb/study-overview/eurobarometer-711-za-4971-jan-feb-2009,6
ZA4975,Eurobarometer 72.1,Aug-Sep 2009,https://www.gesis.org/en/eurobarometer-data-service/survey-series/standard-special-eb/study-overview/eurobarometer-721-za-4975-aug-sep-2009,7
ZA5480,Eurobarometer 75.2,April-May 2011,https://www.gesis.org/en/eurobarometer-data-service/survey-series/standard-special-eb/study-overview/eurobarometer-752-za-5480-apr-may-2011,7
ZA5877,Eurobarometer 80.2,Nov-Dec 2013,https://www.gesis.org/en/eurobarometer-data-service/survey-series/standard-special-eb/study-overview/eurobarometer-802-za5877-nov-dec-2013,7
ZA5914,Eurobarometer 81.3,April-May 2014,https://www.gesis.org/en/eurobarometer-data-service/survey-series/standard-special-eb/study-overview/eurobarometer-813-za5914-apr-may-2014,7
ZA6595,Eurobarometer 83.4 ,May-June 2015 ,https://www.gesis.org/en/eurobarometer-data-service/survey-series/standard-special-eb/study-overview/eurobarometer-834-za6595-may-jun-2015,8
ZA6861,Eurobarometer 87.1,1-Mar,https://www.gesis.org/en/eurobarometer-data-service/survey-series/standard-special-eb/study-overview/eurobarometer-871-za6861-march-2017,8
ZA6925,Eurobarometer 88.1 ,Sept-Oct 2017,https://www.gesis.org/en/eurobarometer-data-service/survey-series/standard-special-eb/study-overview/eurobarometer-881-za6925-sept-oct-2017,8
ZA7488,Eurobarometer 90.2,October-November 2018,https://www.gesis.org/en/eurobarometer-data-service/survey-series/standard-special-eb/study-overview/eurobarometer-902-za7488-october-november-2018,8
